,代码,学校名称,办学性质,招生人数_2024,指标生人数_2024,招生人数_2023,指标生人数_2023,[2019],[2020],[2021],[2022],[2023],type,2019,2020,2021,2022,2023,AC,AC_指标生,D,D_指标生,ACD,ACD_指标生
34,8310170,深圳市高级中学创新高中,公办,610,305,585.0,293.0,,,,529.0,544.0,AC,,,,32.0,35.0,610.0,305.0,190.0,95.0,,
35,8311018,深圳市红山中学,公办,425,213,425.0,213.0,,,496.0,521.0,544.0,AC,,,41.0,38.0,36.0,425.0,213.0,175.0,88.0,,
36,8310424,深圳明德实验学校（集团）高级中学（香蜜校区）,公办,240,120,235.0,118.0,390.0,389.0,503.0,528.0,544.0,AC,35.0,35.0,36.0,34.0,37.0,240.0,120.0,60.0,30.0,,
37,8310906,中国科学院深圳理工大学附属实验高级中学,公办,497,249,497.0,249.0,,,496.0,523.0,542.0,AC,,,40.0,37.0,38.0,497.0,249.0,203.0,102.0,,
38,8310305,罗湖外语学校,公办,494,247,455.0,228.0,397.0,392.0,509.0,527.0,542.0,AC,28.0,33.0,32.0,35.0,39.0,494.0,247.0,156.0,78.0,,
39,8310118,深圳第二外国语学校,公办,640,320,640.0,320.0,394.0,392.0,503.0,514.0,541.0,AC,31.0,32.0,34.0,39.0,40.0,640.0,320.0,260.0,130.0,,
40,8310403,福田中学,公办,780,390,780.0,390.0,382.0,380.0,488.0,506.0,538.0,AC,38.0,39.0,44.0,43.0,41.0,780.0,390.0,220.0,110.0,,
41,8310641,深圳市龙津中学,公办,781,391,710.0,355.0,,,,505.0,537.0,AC,,,,44.0,42.0,781.0,391.0,319.0,160.0,,
42,8310158,深圳实验学校明理高中,公办,760,380,720.0,360.0,,,,508.0,533.0,AC,,,,40.0,43.0,760.0,380.0,240.0,120.0,,
44,8310744,龙岗区实验高级中学,公办,285,143,285.0,143.0,,,,495.0,532.0,AC,,,,48.0,45.0,285.0,143.0,115.0,58.0,,
43,8310174,深圳市高级中学理慧高中,公办,680,340,640.0,320.0,,,,507.0,532.0,AC,,,,42.0,44.0,680.0,340.0,220.0,110.0,,
45,8310108,深圳市第三高级中学（国内高考班）,公办,460,230,460.0,230.0,393.0,393.0,497.0,507.0,531.0,AC,32.0,31.0,39.0,41.0,46.0,460.0,230.0,190.0,95.0,,
46,8310407,福田区外国语高级中学,公办,540,270,510.0,255.0,390.0,389.0,494.0,500.0,530.0,AC,34.0,34.0,42.0,45.0,47.0,540.0,270.0,160.0,80.0,,
47,8310154,深圳技术大学附属中学,公办,425,213,425.0,213.0,,,484.0,489.0,528.0,AC,,,47.0,51.0,48.0,425.0,213.0,175.0,88.0,,
48,8310178,深圳中学数理高中,公办,733,367,375.0,188.0,,,,,528.0,AC,,,,,49.0,733.0,367.0,300.0,150.0,,
49,8310303,罗湖高级中学,公办,465,233,465.0,233.0,381.0,378.0,479.0,492.0,526.0,AC,40.0,40.0,49.0,50.0,50.0,465.0,233.0,185.0,93.0,,
50,8310172,深圳市高级中学文博高中,公办,750,375,710.0,355.0,,,,494.0,525.0,AC,,,,49.0,51.0,750.0,375.0,250.0,125.0,,
51,8311105,红岭教育集团大鹏华侨中学,公办,450,225,450.0,225.0,,,,,522.0,AC,,,,,52.0,450.0,225.0,150.0,75.0,,
52,8310703,平冈中学,公办,580,290,500.0,250.0,384.0,383.0,485.0,485.0,519.0,AC,37.0,38.0,46.0,53.0,53.0,580.0,290.0,220.0,110.0,,
53,8310166,深圳外国语学校弘知高中,公办,710,355,710.0,355.0,,,,480.0,517.0,AC,,,,55.0,54.0,710.0,355.0,290.0,145.0,,
54,8310643,深圳市燕川中学,公办,776,388,710.0,355.0,,,,478.0,515.0,AC,,,,56.0,55.0,776.0,388.0,324.0,162.0,,
55,8310607,西乡中学,公办,730,365,730.0,365.0,385.0,386.0,494.0,488.0,513.0,AC,36.0,36.0,43.0,52.0,56.0,730.0,365.0,270.0,135.0,,
56,8310616,石岩外国语学校,公办,350,175,500.0,0.0,395.0,397.0,512.0,497.0,512.0,AC,30.0,28.0,31.0,46.0,57.0,350.0,175.0,150.0,75.0,,
57,8310184,深圳市高级中学有为高中,公办,375,188,375.0,188.0,,,,,510.0,AC,,,,,58.0,375.0,188.0,125.0,63.0,,
58,8310805,深圳市盐港中学（综合高中）,公办,100,0,100.0,0.0,,,,485.0,506.0,ACD,,,,54.0,59.0,,,,,100.0,0.0
59,8310901,光明区高级中学,公办,1020,510,1020.0,510.0,375.0,378.0,479.0,476.0,505.0,AC,42.0,42.0,50.0,57.0,60.0,1020.0,510.0,420.0,210.0,,
60,8310134,深圳市第七高级中学,公办,710,355,710.0,355.0,381.0,385.0,482.0,475.0,504.0,AC,39.0,37.0,48.0,58.0,61.0,710.0,355.0,290.0,145.0,,
61,8310168,深圳外国语学校博雅高中,公办,640,320,640.0,320.0,,,,461.0,504.0,AC,,,,62.0,62.0,640.0,320.0,260.0,130.0,,
62,8310160,深圳实验学校崇文高中,公办,640,320,640.0,320.0,,,,346.0,503.0,AC,,,,79.0,63.0,640.0,320.0,260.0,130.0,,
63,8311003,观澜中学,公办,720,360,720.0,360.0,368.0,372.0,475.0,472.0,501.0,AC,44.0,43.0,51.0,59.0,64.0,720.0,360.0,280.0,140.0,,
64,8310639,深圳市福海中学,公办,458,229,425.0,213.0,,,,466.0,501.0,AC,,,,61.0,65.0,458.0,229.0,192.0,96.0,,
65,8310133,深圳市第一职业技术学校（综合高中）,公办,100,0,100.0,0.0,392.0,394.0,508.0,495.0,499.0,ACD,33.0,30.0,33.0,47.0,66.0,,,,,100.0,0.0
66,8311022,深圳市龙华外国语高级中学,公办,425,213,425.0,213.0,,,,461.0,497.0,AC,,,,63.0,67.0,425.0,213.0,175.0,88.0,,
67,8310162,深圳实验学校卓越高中,公办,570,285,570.0,285.0,,,,345.0,496.0,AC,,,,81.0,68.0,570.0,285.0,230.0,115.0,,
68,8310201,坪山高级中学,公办,640,320,640.0,320.0,366.0,366.0,466.0,469.0,493.0,AC,46.0,45.0,52.0,60.0,69.0,640.0,320.0,260.0,130.0,,
